year,flat_type,town,remain_leaseyears,rounded_lease,resale_price
2022,2 ROOM,BUKIT BATOK,95.0,95.0,338667.0
2022,2 ROOM,BUKIT PANJANG,90.0,90.0,316000.0
2022,2 ROOM,BUKIT PANJANG,91.0,90.0,291857.0
2022,2 ROOM,BUKIT PANJANG,92.0,90.0,276600.0
2022,2 ROOM,BUKIT PANJANG,93.0,95.0,311600.0
2022,2 ROOM,CHOA CHU KANG,88.0,90.0,301667.0
2022,2 ROOM,CHOA CHU KANG,89.0,90.0,268000.0
2022,2 ROOM,CHOA CHU KANG,91.0,90.0,292500.0
2022,2 ROOM,CHOA CHU KANG,92.0,90.0,264500.0
2022,2 ROOM,CHOA CHU KANG,93.0,95.0,302000.0
2022,2 ROOM,CHOA CHU KANG,94.0,95.0,287500.0
2022,2 ROOM,HOUGANG,89.0,90.0,303933.0
2022,2 ROOM,JURONG EAST,90.0,90.0,292500.0
2022,2 ROOM,JURONG EAST,91.0,90.0,283250.0
2022,2 ROOM,JURONG WEST,55.0,55.0,233333.0
2022,2 ROOM,JURONG WEST,85.0,85.0,303000.0
2022,2 ROOM,JURONG WEST,90.0,90.0,296000.0
2022,2 ROOM,JURONG WEST,91.0,90.0,296000.0
2022,2 ROOM,JURONG WEST,94.0,95.0,322600.0
2022,2 ROOM,JURONG WEST,95.0,95.0,312500.0
2022,2 ROOM,PUNGGOL,89.0,90.0,330000.0
2022,2 ROOM,PUNGGOL,90.0,90.0,326000.0
2022,2 ROOM,PUNGGOL,91.0,90.0,305611.0
2022,2 ROOM,PUNGGOL,92.0,90.0,300033.0
2022,2 ROOM,PUNGGOL,93.0,95.0,301270.0
2022,2 ROOM,PUNGGOL,94.0,95.0,305750.0
2022,2 ROOM,PUNGGOL,95.0,95.0,333050.0
2022,2 ROOM,PUNGGOL,96.0,95.0,324000.0
2022,2 ROOM,SEMBAWANG,88.0,90.0,266667.0
2022,2 ROOM,SEMBAWANG,92.0,90.0,297143.0
2022,2 ROOM,SEMBAWANG,95.0,95.0,328437.0
2022,2 ROOM,SENGKANG,84.0,85.0,301667.0
2022,2 ROOM,SENGKANG,85.0,85.0,300000.0
2022,2 ROOM,SENGKANG,88.0,90.0,345000.0
2022,2 ROOM,SENGKANG,89.0,90.0,323125.0
2022,2 ROOM,SENGKANG,90.0,90.0,297200.0
2022,2 ROOM,SENGKANG,91.0,90.0,310971.0
2022,2 ROOM,SENGKANG,92.0,90.0,313900.0
2022,2 ROOM,SENGKANG,93.0,95.0,314578.0
2022,2 ROOM,SENGKANG,94.0,95.0,306000.0
2022,2 ROOM,SENGKANG,95.0,95.0,322991.0
2022,2 ROOM,WOODLANDS,61.0,60.0,256250.0
2022,2 ROOM,WOODLANDS,92.0,90.0,304555.0
2022,2 ROOM,WOODLANDS,94.0,95.0,340000.0
2022,2 ROOM,WOODLANDS,95.0,95.0,312333.0
2022,2 ROOM,YISHUN,77.0,75.0,250000.0
2022,2 ROOM,YISHUN,78.0,80.0,270000.0
2022,2 ROOM,YISHUN,89.0,90.0,286500.0
2022,2 ROOM,YISHUN,90.0,90.0,284500.0
2022,2 ROOM,YISHUN,91.0,90.0,270000.0
2022,2 ROOM,YISHUN,92.0,90.0,301333.0
2022,2 ROOM,YISHUN,93.0,95.0,289000.0
2022,2 ROOM,YISHUN,94.0,95.0,309600.0
2022,2 ROOM,YISHUN,95.0,95.0,309526.0
2022,3 ROOM,BUKIT BATOK,60.0,60.0,368000.0
2022,3 ROOM,BUKIT BATOK,61.0,60.0,357057.0
2022,3 ROOM,BUKIT BATOK,62.0,60.0,350483.0
2022,3 ROOM,BUKIT BATOK,63.0,65.0,341911.0
2022,3 ROOM,BUKIT BATOK,64.0,65.0,343272.0
2022,3 ROOM,BUKIT BATOK,65.0,65.0,340148.0
2022,3 ROOM,BUKIT BATOK,74.0,75.0,335000.0
2022,3 ROOM,BUKIT BATOK,75.0,75.0,330000.0
2022,3 ROOM,BUKIT BATOK,94.0,95.0,489818.0
2022,3 ROOM,BUKIT BATOK,95.0,95.0,475056.0
2022,3 ROOM,BUKIT BATOK,96.0,95.0,449000.0
2022,3 ROOM,BUKIT PANJANG,64.0,65.0,362091.0
2022,3 ROOM,BUKIT PANJANG,65.0,65.0,361715.0
2022,3 ROOM,BUKIT PANJANG,66.0,65.0,346880.0
2022,3 ROOM,BUKIT PANJANG,89.0,90.0,414000.0
2022,3 ROOM,BUKIT PANJANG,90.0,90.0,387714.0
2022,3 ROOM,BUKIT PANJANG,91.0,90.0,411667.0
2022,3 ROOM,BUKIT PANJANG,92.0,90.0,408889.0
2022,3 ROOM,BUKIT PANJANG,93.0,95.0,380341.0
2022,3 ROOM,BUKIT PANJANG,94.0,95.0,398629.0
2022,3 ROOM,CHOA CHU KANG,54.0,55.0,325000.0
2022,3 ROOM,CHOA CHU KANG,55.0,55.0,332938.0
2022,3 ROOM,CHOA CHU KANG,56.0,55.0,322143.0
2022,3 ROOM,CHOA CHU KANG,58.0,60.0,340000.0
2022,3 ROOM,CHOA CHU KANG,60.0,60.0,367500.0
2022,3 ROOM,CHOA CHU KANG,61.0,60.0,356571.0
2022,3 ROOM,CHOA CHU KANG,62.0,60.0,343333.0
2022,3 ROOM,CHOA CHU KANG,66.0,65.0,354714.0
2022,3 ROOM,CHOA CHU KANG,67.0,65.0,338500.0
2022,3 ROOM,CHOA CHU KANG,88.0,90.0,380000.0
2022,3 ROOM,CHOA CHU KANG,90.0,90.0,388000.0
2022,3 ROOM,CHOA CHU KANG,91.0,90.0,397600.0
2022,3 ROOM,CHOA CHU KANG,92.0,90.0,380000.0
2022,3 ROOM,CHOA CHU KANG,93.0,95.0,409722.0
2022,3 ROOM,CHOA CHU KANG,94.0,95.0,414000.0
2022,3 ROOM,CHOA CHU KANG,95.0,95.0,408444.0
2022,3 ROOM,HOUGANG,52.0,50.0,310680.0
2022,3 ROOM,HOUGANG,53.0,55.0,290000.0
2022,3 ROOM,HOUGANG,54.0,55.0,350000.0
2022,3 ROOM,HOUGANG,55.0,55.0,350185.0
2022,3 ROOM,HOUGANG,58.0,60.0,382607.0
2022,3 ROOM,HOUGANG,59.0,60.0,372327.0
2022,3 ROOM,HOUGANG,60.0,60.0,365436.0
2022,3 ROOM,HOUGANG,61.0,60.0,370605.0
2022,3 ROOM,HOUGANG,62.0,60.0,362039.0
2022,3 ROOM,HOUGANG,63.0,65.0,356435.0
2022,3 ROOM,HOUGANG,64.0,65.0,359144.0
2022,3 ROOM,HOUGANG,65.0,65.0,351992.0
2022,3 ROOM,HOUGANG,66.0,65.0,332988.0
2022,3 ROOM,HOUGANG,67.0,65.0,335000.0
2022,3 ROOM,HOUGANG,70.0,70.0,344800.0
2022,3 ROOM,HOUGANG,89.0,90.0,401833.0
2022,3 ROOM,HOUGANG,90.0,90.0,398750.0
2022,3 ROOM,HOUGANG,91.0,90.0,467960.0
2022,3 ROOM,HOUGANG,92.0,90.0,429626.0
2022,3 ROOM,HOUGANG,93.0,95.0,464515.0
2022,3 ROOM,HOUGANG,94.0,95.0,461805.0
2022,3 ROOM,HOUGANG,95.0,95.0,467429.0
2022,3 ROOM,JURONG EAST,54.0,55.0,311680.0
2022,3 ROOM,JURONG EAST,55.0,55.0,331667.0
2022,3 ROOM,JURONG EAST,56.0,55.0,314300.0
2022,3 ROOM,JURONG EAST,58.0,60.0,356412.0
2022,3 ROOM,JURONG EAST,59.0,60.0,367545.0
2022,3 ROOM,JURONG EAST,60.0,60.0,359411.0
2022,3 ROOM,JURONG EAST,61.0,60.0,359626.0
2022,3 ROOM,JURONG EAST,62.0,60.0,335218.0
2022,3 ROOM,JURONG EAST,63.0,65.0,346000.0
2022,3 ROOM,JURONG EAST,66.0,65.0,328000.0
2022,3 ROOM,JURONG EAST,90.0,90.0,401625.0
2022,3 ROOM,JURONG EAST,91.0,90.0,413583.0
2022,3 ROOM,JURONG EAST,93.0,95.0,424000.0
2022,3 ROOM,JURONG EAST,94.0,95.0,411222.0
2022,3 ROOM,JURONG WEST,46.0,45.0,300444.0
2022,3 ROOM,JURONG WEST,48.0,50.0,274375.0
2022,3 ROOM,JURONG WEST,49.0,50.0,277770.0
2022,3 ROOM,JURONG WEST,51.0,50.0,283067.0
2022,3 ROOM,JURONG WEST,52.0,50.0,279453.0
2022,3 ROOM,JURONG WEST,53.0,55.0,287868.0
2022,3 ROOM,JURONG WEST,54.0,55.0,301875.0
2022,3 ROOM,JURONG WEST,55.0,55.0,285151.0
2022,3 ROOM,JURONG WEST,56.0,55.0,269750.0
2022,3 ROOM,JURONG WEST,58.0,60.0,355000.0
2022,3 ROOM,JURONG WEST,59.0,60.0,352857.0
2022,3 ROOM,JURONG WEST,60.0,60.0,361000.0
2022,3 ROOM,JURONG WEST,61.0,60.0,366372.0
2022,3 ROOM,JURONG WEST,62.0,60.0,343318.0
2022,3 ROOM,JURONG WEST,63.0,65.0,347909.0
2022,3 ROOM,JURONG WEST,65.0,65.0,348571.0
2022,3 ROOM,JURONG WEST,66.0,65.0,323250.0
2022,3 ROOM,JURONG WEST,87.0,85.0,368000.0
2022,3 ROOM,JURONG WEST,88.0,90.0,427500.0
2022,3 ROOM,JURONG WEST,89.0,90.0,397270.0
2022,3 ROOM,JURONG WEST,90.0,90.0,395000.0
2022,3 ROOM,JURONG WEST,91.0,90.0,421571.0
2022,3 ROOM,JURONG WEST,92.0,90.0,453500.0
2022,3 ROOM,JURONG WEST,94.0,95.0,440216.0
2022,3 ROOM,JURONG WEST,95.0,95.0,419897.0
2022,3 ROOM,PUNGGOL,89.0,90.0,455657.0
2022,3 ROOM,PUNGGOL,90.0,90.0,437286.0
2022,3 ROOM,PUNGGOL,91.0,90.0,431436.0
2022,3 ROOM,PUNGGOL,92.0,90.0,422338.0
2022,3 ROOM,PUNGGOL,93.0,95.0,423550.0
2022,3 ROOM,PUNGGOL,94.0,95.0,440817.0
2022,3 ROOM,PUNGGOL,95.0,95.0,447106.0
2022,3 ROOM,PUNGGOL,96.0,95.0,390000.0
2022,3 ROOM,SEMBAWANG,91.0,90.0,418000.0
2022,3 ROOM,SEMBAWANG,92.0,90.0,386563.0
2022,3 ROOM,SEMBAWANG,95.0,95.0,433915.0
2022,3 ROOM,SENGKANG,84.0,85.0,435750.0
2022,3 ROOM,SENGKANG,86.0,85.0,456800.0
2022,3 ROOM,SENGKANG,87.0,85.0,426000.0
2022,3 ROOM,SENGKANG,88.0,90.0,426222.0
2022,3 ROOM,SENGKANG,89.0,90.0,429310.0
2022,3 ROOM,SENGKANG,90.0,90.0,420500.0
2022,3 ROOM,SENGKANG,91.0,90.0,426469.0
2022,3 ROOM,SENGKANG,92.0,90.0,429353.0
2022,3 ROOM,SENGKANG,93.0,95.0,418246.0
2022,3 ROOM,SENGKANG,94.0,95.0,430579.0
2022,3 ROOM,SENGKANG,95.0,95.0,437206.0
2022,3 ROOM,WOODLANDS,51.0,50.0,296000.0
2022,3 ROOM,WOODLANDS,52.0,50.0,308000.0
2022,3 ROOM,WOODLANDS,53.0,55.0,292407.0
2022,3 ROOM,WOODLANDS,54.0,55.0,309900.0
2022,3 ROOM,WOODLANDS,55.0,55.0,322500.0
2022,3 ROOM,WOODLANDS,56.0,55.0,328000.0
2022,3 ROOM,WOODLANDS,57.0,55.0,325200.0
2022,3 ROOM,WOODLANDS,58.0,60.0,308707.0
2022,3 ROOM,WOODLANDS,60.0,60.0,300000.0
2022,3 ROOM,WOODLANDS,61.0,60.0,339167.0
2022,3 ROOM,WOODLANDS,62.0,60.0,327620.0
2022,3 ROOM,WOODLANDS,63.0,65.0,382000.0
2022,3 ROOM,WOODLANDS,64.0,65.0,308750.0
2022,3 ROOM,WOODLANDS,66.0,65.0,370000.0
2022,3 ROOM,WOODLANDS,67.0,65.0,366500.0
2022,3 ROOM,WOODLANDS,70.0,70.0,359548.0
2022,3 ROOM,WOODLANDS,71.0,70.0,327500.0
2022,3 ROOM,WOODLANDS,72.0,70.0,350000.0
2022,3 ROOM,WOODLANDS,90.0,90.0,410236.0
2022,3 ROOM,WOODLANDS,91.0,90.0,406000.0
2022,3 ROOM,WOODLANDS,92.0,90.0,400800.0
2022,3 ROOM,WOODLANDS,93.0,95.0,442000.0
2022,3 ROOM,WOODLANDS,95.0,95.0,423992.0
2022,3 ROOM,YISHUN,55.0,55.0,329714.0
2022,3 ROOM,YISHUN,58.0,60.0,353500.0
2022,3 ROOM,YISHUN,59.0,60.0,347562.0
2022,3 ROOM,YISHUN,60.0,60.0,351618.0
2022,3 ROOM,YISHUN,61.0,60.0,356794.0
2022,3 ROOM,YISHUN,62.0,60.0,355605.0
2022,3 ROOM,YISHUN,63.0,65.0,352710.0
2022,3 ROOM,YISHUN,64.0,65.0,354700.0
2022,3 ROOM,YISHUN,65.0,65.0,360326.0
2022,3 ROOM,YISHUN,66.0,65.0,347855.0
2022,3 ROOM,YISHUN,69.0,70.0,352571.0
2022,3 ROOM,YISHUN,76.0,75.0,370000.0
2022,3 ROOM,YISHUN,89.0,90.0,391500.0
2022,3 ROOM,YISHUN,90.0,90.0,440899.0
2022,3 ROOM,YISHUN,91.0,90.0,421400.0
2022,3 ROOM,YISHUN,92.0,90.0,401039.0
2022,3 ROOM,YISHUN,93.0,95.0,391672.0
2022,3 ROOM,YISHUN,94.0,95.0,421803.0
2022,3 ROOM,YISHUN,95.0,95.0,424460.0
2022,4 ROOM,BUKIT BATOK,60.0,60.0,477500.0
2022,4 ROOM,BUKIT BATOK,61.0,60.0,476533.0
2022,4 ROOM,BUKIT BATOK,62.0,60.0,461630.0
